race_distance,race_city,race_country,Region,url_region,url_distance,url_location,url_race,url_year,url_date
Ironman 140.6,Zurich,Switzerland,Europe,emea,ironman,switzerland,switzerland,2011,20110710
Ironman 140.6,Kailua-Kona,USA,North America,americas,ironman,world-championship,worldchampionship,2011,20111008
Ironman 140.6,Lake Placid,USA,North America,americas,ironman,lake-placid,lakeplacid,2011,20110724
Ironman 140.6,Panama City Beach,USA,North America,americas,ironman,florida,florida,2011,20111105
Ironman 140.6,Tempe,USA,North America,americas,ironman,arizona,arizona,2011,20111120
Ironman 140.6,Cozumel,Mexico,North America,americas,ironman,cozumel,cozumel,2011,20111127
Ironman 140.6,Busselton,Australia,Oceania,asiapac,ironman,western-australia,westernaustralia,2011,20111204
Ironman 140.6,Lanzarote,Spain,Europe,emea,ironman,lanzarote,lanzarote,2012,20120519
Ironman 140.6,Klagenfurt,Austria,Europe,emea,ironman,austria,austria,2012,20120701
Ironman 140.6,Frankfurt,Germany,Europe,emea,ironman,frankfurt,germany,2012,20120708
Ironman 140.6,Kalmar,Sweden,Europe,emea,ironman,kalmar,kalmar,2012,20120818
Ironman 140.6,Zurich,Switzerland,Europe,emea,ironman,switzerland,switzerland,2012,20120715
Ironman 140.6,Nice,France,Europe,emea,ironman,france,france,2012,20120624
Ironman 140.6,Bolton,England,Europe,emea,ironman,uk,uk,2012,20120722
Ironman 140.6,Pembrokeshire,England,Europe,emea,ironman,wales,wales,2012,20120916
Ironman 140.6,Kailua-Kona,USA,North America,americas,ironman,world-championship,worldchampionship,2012,20121013
Ironman 140.6,The Woodlands,USA,North America,americas,ironman,texas,texas,2012,20120519
Ironman 140.6,Lake Placid,USA,North America,americas,ironman,lake-placid,lakeplacid,2012,20120722
Ironman 140.6,Whistler,Canada,North America,americas,ironman,canada,canada,2012,20120826
Ironman 140.6,Mont Tremblant,Canada,North America,americas,ironman,mont-tremblant,monttremblant,2012,20120819
Ironman 140.6,Madison,USA,North America,americas,ironman,wisconsin,wisconsin,2012,20120909
Ironman 140.6,Louisville,USA,North America,americas,ironman,louisville,louisville,2012,20120826
Ironman 140.6,Panama City Beach,USA,North America,americas,ironman,florida,florida,2012,20121103
Ironman 140.6,Tempe,USA,North America,americas,ironman,arizona,arizona,2012,20121118
Ironman 140.6,Cozumel,Mexico,North America,americas,ironman,cozumel,cozumel,2012,20121125
Ironman 140.6,Florianopolis,Brazil,South America,americas,ironman,brazil,brazil,2012,20120527
Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,emea,ironman,south-africa,southafrica,2012,20120422
Ironman 140.6,Port Macquarie,Australia,Oceania,asiapac,ironman,australia,australia,2012,20120506
Ironman 140.6,Cairns,Australia,Oceania,asiapac,ironman,cairns,cairns,2012,20120603
Ironman 140.6,Busselton,Australia,Oceania,asiapac,ironman,western-australia,westernaustralia,2012,20121209
Ironman 140.6,Lanzarote,Spain,Europe,emea,ironman,lanzarote,lanzarote,2013,20130518
Ironman 140.6,Copenhagen,Denmark,Europe,emea,ironman,copenhagen,copenhagen,2013,20130818
Ironman 140.6,Klagenfurt,Austria,Europe,emea,ironman,austria,austria,2013,20130630
Ironman 140.6,Frankfurt,Germany,Europe,emea,ironman,frankfurt,germany,2013,20130707
Ironman 140.6,Kalmar,Sweden,Europe,emea,ironman,kalmar,kalmar,2013,20130817
Ironman 140.6,Zurich,Switzerland,Europe,emea,ironman,switzerland,switzerland,2013,20130728
Ironman 140.6,Nice,France,Europe,emea,ironman,france,france,2013,20130623
Ironman 140.6,Bolton,England,Europe,emea,ironman,uk,uk,2013,20130804
Ironman 140.6,Pembrokeshire,England,Europe,emea,ironman,wales,wales,2013,20130908
Ironman 140.6,Kailua-Kona,USA,North America,americas,ironman,world-championship,worldchampionship,2013,20130112
Ironman 140.6,The Woodlands,USA,North America,americas,ironman,texas,texas,2013,20130518
Ironman 140.6,Lake Placid,USA,North America,americas,ironman,lake-placid,lakeplacid,2013,20130728
