race_distance,race_city,race_country,Region,url_region,url_distance,url_location,url_race,url_year,url_date
Ironman 140.6,Kailua-Kona,USA,North America,americas,ironman,world-championship,worldchampionship,2017,20171014
Ironman 140.6,The Woodlands,USA,North America,americas,ironman,texas,texas,2017,20170422
Ironman 140.6,Santa Rosa,USA,North America,americas,ironman,santa-rosa,santarosa,2017,20170729
Ironman 140.6,Boulder,USA,North America,americas,ironman,boulder,boulder,2017,20170611
Ironman 140.6,Lake Placid,USA,North America,americas,ironman,lake-placid,lakeplacid,2017,20170723
Ironman 140.6,Whistler,Canada,North America,americas,ironman,canada,canada,2017,20170730
Ironman 140.6,Mont Tremblant,Canada,North America,americas,ironman,mont-tremblant,monttremblant,2017,20170820
Ironman 140.6,Madison,USA,North America,americas,ironman,wisconsin,wisconsin,2017,20170910
Ironman 140.6,Cambridge,USA,North America,americas,ironman,maryland,maryland,2017,20171007
Ironman 140.6,Chattanooga,USA,North America,americas,ironman,chattanooga,chattanooga,2017,20170924
Ironman 140.6,Louisville,USA,North America,americas,ironman,louisville,louisville,2017,20171015
Ironman 140.6,Panama City Beach,USA,North America,americas,ironman,florida,florida,2017,20171104
Ironman 140.6,Tempe,USA,North America,americas,ironman,arizona,arizona,2017,20171119
Ironman 140.6,Cozumel,Mexico,North America,americas,ironman,cozumel,cozumel,2017,20171126
Ironman 140.6,Florianopolis,Brazil,South America,americas,ironman,brazil,brazil,2017,20170528
Ironman 140.6,Mar del Plata,Argentina,South America,americas,ironman,mar-del-plat,mardelplata,2017,20171203
Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,emea,ironman,south-africa,southafrica,2017,20170402
Ironman 140.6,Gurye,Korea,Asia,asiapac,ironman,korea,korea,2017,20170910
Ironman 140.6,Penghu,Taiwan,Asia,asiapac,ironman,taiwan,taiwan,2017,20171001
Ironman 140.6,Langkawi,Malaysia,Asia,asiapac,ironman,malaysia,malaysia,2017,20171111
Ironman 140.6,Port Macquarie,Australia,Oceania,asiapac,ironman,australia,australia,2017,20170507
