Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Van Lierde, Frederik",BEL,1,1,1,00:43:46,04:22:37,02:52:42,08:03:09,5000,Ironman 140.6,Cozumel,Mexico,North America,M,2016,20161127,cozumel,Pro
"Russell, Matt",USA,2,2,2,00:48:20,04:21:28,02:51:18,08:04:24,4985,Ironman 140.6,Cozumel,Mexico,North America,M,2016,20161127,cozumel,Pro
"Leiferman, Chris",USA,3,3,3,00:48:28,04:21:09,02:55:58,08:09:11,4927,Ironman 140.6,Cozumel,Mexico,North America,M,2016,20161127,cozumel,Pro
"Weiss, Michael",AUT,4,4,4,00:48:26,04:17:45,02:59:55,08:10:44,4909,Ironman 140.6,Cozumel,Mexico,North America,M,2016,20161127,cozumel,Pro
"Mcdonald, Chris",AUS,5,5,5,00:48:44,04:21:08,03:02:35,08:15:59,4846,Ironman 140.6,Cozumel,Mexico,North America,M,2016,20161127,cozumel,Pro
"Manocchio, Guilherme",BRA,6,6,6,00:47:18,04:26:14,03:01:23,08:19:26,4804,Ironman 140.6,Cozumel,Mexico,North America,M,2016,20161127,cozumel,Pro
"Major, Jozsef",HUN,7,7,7,00:57:13,04:32:31,02:46:50,08:21:33,4779,Ironman 140.6,Cozumel,Mexico,North America,M,2016,20161127,cozumel,Pro
"Danielsson, Karl-Johan",SWE,8,8,8,00:47:14,04:22:33,03:08:44,08:23:01,4761,Ironman 140.6,Cozumel,Mexico,North America,M,2016,20161127,cozumel,Pro
"Blanchart Tinto, Miquel",ESP,9,9,9,00:44:09,04:39:53,02:57:03,08:24:44,4741,Ironman 140.6,Cozumel,Mexico,North America,M,2016,20161127,cozumel,Pro
"Koutny, Philipp",CHE,10,10,10,00:48:16,04:32:43,03:04:22,08:29:16,4686,Ironman 140.6,Cozumel,Mexico,North America,M,2016,20161127,cozumel,Pro
"Brandon, Barrett",USA,11,11,11,00:43:37,04:41:02,03:10:14,08:39:39,4562,Ironman 140.6,Cozumel,Mexico,North America,M,2016,20161127,cozumel,Pro
"Lyatskiy, Andrej",RUS,12,12,12,00:46:39,04:42:43,03:07:21,08:41:21,4541,Ironman 140.6,Cozumel,Mexico,North America,M,2016,20161127,cozumel,Pro
