Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Buckingham, Kyle",ZAF,1,1,1,00:48:22,04:31:51,02:48:42,08:13:00,5000,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Amberger, Josh",AUS,2,2,2,00:46:24,04:31:35,02:53:43,08:16:01,4963,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Clavel, Maurice",DEU,3,3,3,00:48:21,04:31:56,02:54:01,08:18:51,4929,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Wurf, Cameron",AUS,4,4,4,00:50:15,04:19:44,03:05:10,08:20:07,4914,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Schildknecht, Ronnie",CHE,5,5,5,00:53:53,04:35:37,02:49:03,08:23:09,4878,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Shearon, Jonathan",USA,6,6,6,00:53:56,04:35:48,02:49:15,08:23:57,4868,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Degasperi, Alessandro",ITA,7,7,7,00:48:30,04:42:43,02:48:33,08:25:10,4854,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Molinari, Giulio",ITA,8,8,8,00:48:19,04:37:53,02:54:57,08:25:29,4850,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Koutny, Philipp",CHE,9,9,9,00:50:44,04:40:33,02:50:35,08:26:18,4840,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Llanos, Eneko",ESP,10,10,10,00:48:28,04:31:48,03:07:07,08:31:56,4772,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Alfaro San Ildefonso, Peru",ESP,11,11,11,00:48:12,04:44:57,02:58:07,08:36:18,4720,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Ruenz, Michael",DEU,12,12,12,00:57:42,04:47:55,02:48:17,08:38:21,4695,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Trautman, Matt",ZAF,13,14,14,00:49:53,04:42:56,03:09:25,08:47:14,4589,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Norberg, Sebastian",SWE,14,17,18,00:53:52,04:46:57,03:15:27,09:00:39,4428,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Casadei, Alberto",ITA,15,18,20,00:48:20,05:03:44,03:07:54,09:05:18,4372,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Thomas, Darby",FIN,16,20,23,01:00:55,04:47:19,03:14:22,09:07:29,4346,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"De Bruin, Gerhard",ZAF,17,24,27,00:53:44,04:51:41,03:22:03,09:11:47,4294,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Christensen, Bekim",DNK,18,37,42,01:05:56,04:46:32,03:28:53,09:27:13,4109,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Mühlbauer, Hans",DEU,19,50,56,00:55:31,05:22:21,03:11:41,09:34:55,4017,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Philippe, Lamberty",LUX,20,128,144,00:53:49,04:56:48,04:16:20,10:11:19,3580,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
"Buckingham, Kyle",ZAF,1,1,1,00:48:22,04:31:51,02:48:42,08:13:00,5000,Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,M,2018,20180415,southafrica,Pro
