Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,Distance,Race_City,Race_Country,Race_Region,Gender,Race_Year,Race_Date,Race_Name,Age_Group
"Weiss, Michael",AUT,1,1,1,00:22:24,04:14:19,02:49:11,07:30:23,5000,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Hanson, Matthew",USA,2,2,2,00:22:18,04:28:46,02:45:07,07:39:47,4887,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Deelias, Mario",ARG,3,3,3,00:22:15,04:28:45,02:47:24,07:42:22,4856,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Svensson, Jesper",SWE,4,4,4,00:19:09,04:32:04,02:51:49,07:46:39,4804,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Lukas, Kramer",DEU,5,5,5,00:22:02,04:30:20,02:51:42,07:48:09,4786,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Schumacher, Stefan",DEU,6,6,6,00:26:05,04:17:12,02:58:37,07:48:40,4780,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Vistica, Andrej",HRV,7,7,7,00:22:28,04:38:05,02:50:42,07:55:53,4694,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Andujar, Pedro Jose",ESP,8,8,8,00:22:26,04:28:37,03:05:49,08:01:12,4630,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Manente, Felipe",BRA,9,9,9,00:22:16,04:47:14,02:52:46,08:08:17,4545,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Chrabot, Matt",USA,10,10,10,00:19:05,04:34:24,03:15:23,08:13:02,4488,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Van De Wyngard, Felipe",CHL,11,11,11,00:19:18,04:36:34,03:16:33,08:16:47,4443,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Potts, Andy",USA,12,12,13,00:19:21,04:30:10,03:27:27,08:21:11,4390,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Risti, Ivan",ITA,13,13,14,00:19:42,04:57:01,03:02:01,08:22:31,4374,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Vasquez, Diego",ECU,14,14,16,00:22:40,04:48:01,03:09:32,08:25:35,4337,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Hultgren, Marcus",SWE,15,17,21,00:23:35,04:56:00,03:07:45,08:32:37,4253,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Chirinos, Andres",PER,16,19,24,00:23:29,04:56:53,03:14:02,08:39:25,4171,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Villaruel, Nacho",ARG,17,42,49,00:22:30,05:14:27,03:12:34,08:56:59,3960,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Mármol Ruiz, Giovanny",ECU,18,64,73,00:23:19,05:21:52,03:14:20,09:04:20,3872,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Darricau, Andres",ARG,19,103,112,00:22:12,05:11:51,03:38:08,09:16:53,3722,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
"Alonso-Mckernan, Clemente",ESP,---,---,---,---,---,---,DNS,---,Ironman 140.6,Mar del Plata,Argentina,South America,M,2018,20181202,mardelplata,Pro
